Nom,Dosage,Forme,DCI,Classe,Sous Classe,Indications,G/P/B
ACAMANTINE 625,500 mg/125mg,Comprimé pelliculé,AMOXICILLINE+ACIDE CLAVULANIQUE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"- OTITES MOYENNES AIGUES , OTITES RECIDIVANTES;
- SINUSITES;
- ANGINES RECIDIVANTES, AMYGDALITE CHRONIQUE;
- SURINFECTIONS DE BRONCHITES AIGUES DU PATIENT A RISQUE, NOTAMMENT
ETHYLIQUE CHRONIQUE, TABAGIQUE, AGE DE PLUS DE 65 ANS, EN CAS DE
RISQUE EVO",Générique
ACARBOSE ADWYA,100 mg,Comprimé,ACARBOSE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète non insulino-dépendant, en complément  du régime
alimentaire, en monothérapie comme en association aux autres
thérapeutiques antidiabétiques.",Générique
ACARBOSE ADWYA,50 mg,Comprimé,ACARBOSE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du diabète non insulino-dépendant, en complément  du régime
alimentaire, en monothérapie comme en association aux autres
thérapeutiques antidiabétiques.",Générique
ACARLYSE,100 mg,Comprimé,ACARBOSE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du dibète non insulino-dépendant, en complément  du régime
alimentaire, en monothérapie comme en association aux autres
thérapeutiques antidiabétiques.",Générique
ACARLYSE,50 mg,Comprimé,ACARBOSE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENT UTILISE DANS LE TRAITEMENT DU DIABETE,"Traitement du dibète non insulino-dépendant, en complément  du régime
alimentaire, en monothérapie comme en association aux autres
thérapeutiques antidiabétiques.",Générique
ACCOFIL,30 MU,Solution injectable,FILGRASTIM,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSTIMULANTS,"ACCOFIL est indiqué pour la réduction de la durée des neutropénies et
de l'incidence des neutropénies fébriles chez les patients traités par
une chimiothérapie cytotoxique pour une pathologie maligne (à
l'exception des leucémies myéloïdes chroniques",Biosimilaire
ACCOFIL,48 MU,Solution injectable,FILGRASTIM,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSTIMULANTS,"ACCOFIL est indiqué pour la réduction de la durée des neutropénies et
de l'incidence des neutropénies fébriles chez les patients traités par
une chimiothérapie cytotoxique pour une pathologie maligne (à
l'exception des leucémies myéloïdes chroniques",Biosimilaire
ACEBUTOLOL MYLAN,400 MG,Comprimé pelliculé,ACEBUTOLOL,SYSTEME CARDIOVASCULAIRE,AGENTS ß-BLOQUANTS,"- HYPERTENSION ARTERIELLE
- PROPHYLAXIE DES CRISES D'ANGOR D'EFFORT
- TRAITEMENT DE CERTAINS TROUBLES DU RYTHME: SUPRAVENTRICULAIRES
(TACHYCARDIE, FLUTTERS ET FIBRILLATIONS AURICULAIRES, TACHYCARDIES
JONCTIONNELLES) OU VENTRICULAIRES (EXTRASYSTOLIE V",Générique
ACETETE DE TERLIPRESSINE EVER PHARMA,0.2 mg/ml,Solution injectable,TERLIPRESSINE,"HORMONES SYSTEMIQUES, HORMONES SEXUELLES EXCLUES","HORMONES HYPOPHYSAIRES, HYPOTHALAMIQUES ET ANALOGUES","- Traitement d'urgence des hémorragies digestives par rupture des
varices osophagiennes, en l'attente d'un traitement endoscopique.
- Traitement du syndrome hépatorénal de type 1, caractérisé par une
insuffisance rénale aiguë et spontanée, chez les m",Générique
ACETYLSALICYLATE DE LYSINE LABESFAL,900 MG,Pdre p.prep.injectable,ACETYLSALICYLATE DE LYSINE,SYSTEME NERVEUX,ANALGESIQUES,"- Traitement de courte durée des douleurs intenses
- Traitement des rhumatismes inflammatoires
- Traitement symptomatique de la fièvre lorsque l'administration par
voie orale n'est pas possible.",Générique
ACETYLSALICYLATE DE LYSINE LABESFAL,900 MG,Pdre p.prep.injectable,ACETYLSALICYLATE DE LYSINE,SYSTEME NERVEUX,ANALGESIQUES,"- Traitement de courte durée des douleurs intenses
- Traitement des rhumatismes inflammatoires
- Traitement symptomatique de la fièvre lorsque l'administration par
voie orale n'est pas possible.",Générique
ACICLOVIR OPALIA,5%,Creme dermique,ACICLOVIR,MEDICAMENTS DERMATOLOGIQUES,ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE,"1/ Elles découlent de l'activité de l'aciclovir sur les virus Herpes
simplex de types 1 et 2 :
herpès génital : traitement de la primo-infection et des récurrences
ultérieures éventuelles ;
herpès labial : dans la plupart des études réalisées lors de",Générique
ACICLOVIR OPALIA,8%,Suspension buvable,ACICLOVIR,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),"1/ Sujet immunodéprimé :
Prévention des infections à virus Herpes simplex (HSV).
2/ Sujet immunocompétent :
a/ Infections cutanées ou muqueuses :
- Traitement des infections herpétiques cutanées ou muqueuses sévères
(il s'agit en général de primo-inf",Générique
ACICLOVIR OPALIA,200 MG,Comprimé,ACICLOVIR,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),"1/ Sujet immunodéprimé
Prévention des infections à Virus Herpes Simplex (HSV);
2/ Sujet immunocompétent:
A/ Infections cutanées ou muqueuses:
- Traitement des infections herpétiques cutanées ou muqueuses sévères
(il s'agit en général de primo-infecti",Générique
ACICLOVIR VIATRIS,250 MG,Pdre p.prep.injectable,ACICLOVIR,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIVIRAUX (USAGE SYSTEMIQUE),"1- Chez le sujet immunodéprimé:
- Infections à virus Varicelle Zona (VZV),
- Infections à virus Herpes Simplex (HSV),
2- Chez le sujet immunocompétent:
* Infections à VZV
- Zona grave par l'extension ou par l'évolutivité des lésions,
- Varicelle chez",Générique
ACIDE ASCORBIQUE A 10 POUR CENT RENAUDIN,500 MG/5ML,Solution injectable,ACIDE ASCORBIQUE,APPAREIL DIGESTIF ET METABOLISME,VITAMINES,"- TRAITEMENT DES ASTHENIES AU COURS DES CORYZAS, ETATS GRIPPAUX,
CONVALESCENCES,
- TRAITEMENT DU SCORBUT,
- SUPPLEMENTATION EN VITAMINE C LORS DE L'ALIMENTATION PARENTERALE
TOTALE OU DANS LES CARENCES LIEES A L'ALIMENTATION DESEQUILIBREE OU
INSUFFISA",Générique
ACIDE ZOLÉDRONIQUE ACCORD,4 MG/5 ML,Solution injectable,ACIDE ZOLÉDRONIQUE,MUSCLE ET SQUELETTE,MEDICAMENTS POUR LES MALADIES DES OS,"Traitement des patients présentant des métastases osseuses de tumeurs
solides et lors de myélome multiple en association à un traitement
antinéoplasique standard.
Traitement de l'hypercalcémie maligne(HCM).",Générique
ACIRYL,75 mg,Gélule,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"Douleurs neuropathiques:
- ACIRYL est indiqué dans le traitement des douleurs neuropathiques
périphériques et centrales chez l'adulte.
Epilepsie:
- ACIRYL est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielles",Générique
ACIRYL,150 mg,Gélule,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"Douleurs neuropathiques:
- ACIRYL est indiqué dans le traitement des douleurs neuropathiques
périphériques et centrales chez l'adulte.
Epilepsie:
- ACIRYL est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielles",Générique
ACIRYL,75 mg,Gélule,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"Douleurs neuropathiques:
- ACIRYL  est indiqué dans le traitement des douleurs neuropathiques
périphériques et centrales chez l'adulte.
Epilepsie:
- ACIRYL  est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielle",Générique
ACIRYL,150 mg,Gélule,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"Douleurs neuropathiques:
- ACIRYL est indiqué dans le traitement des douleurs neuropathiques
périphériques et centrales chez l'adulte.
Epilepsie:
- ACIRYL est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielles",Générique
ACIRYL,300mg,Gélule,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"DOULEUR NEUROPATHIQUES:
- ACIRYL est indiqué dans le traitement des douleurs neuropathiques et
centrales chez l'adulte.
EPILEPSIE :
- ACIRYL est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielles avec ou sans g",Générique
ACIRYL,2%,Solution buvable,PREGABALINE,SYSTEME NERVEUX,ANTI-EPILEPTIQUES,"-ACIRYL est indiqué dans le traitement  des douleurs neuropathiques
périphériques et centrales chez l'adulte.
Epilepsie:
- ACIRYL est indiqué chez l'adulte en association dans le traitement
des crises épileptiques partielles avec ou sans généralisati",Générique
ACLASTA,5mg / 100ml,Solution injectable pour perfusion,ACIDE ZOLÉDRONIQUE,MUSCLE ET SQUELETTE,MEDICAMENTS POUR LES MALADIES DES OS,"- Traitement de l'ostéoporose chez les femmes postménopausées et chez
les hommes
- Prévention des fractures cliniques après fracture du col du fémur
chez les hommes et chez les femmes
- Traitement et prévention de l'ostéoporose induite par les
glucoc",Princeps
ACNODERM,0.10%,Gel dermique,ADAPALENE,MEDICAMENTS DERMATOLOGIQUES,PREPARATIONS ANTI-ACNEIQUES,"Acné de sévérité moyenne, particulièrement indiqué dans l'acné
rétentionnelle.",Générique
ACTAFON,80 mg,Comprimé orodispersible,PHLOROGLUCINOL,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"- Traitement symptomatique des douleurs liées aux troubles
fonctionnels du tube digestif et des voies biliaires.
- Traitement des manifestations spasmodiques et douloureuses aiguës
des voies urinaires: coliques néphrétiques.
- Traitement symptomatiqu",Générique
ACTAFON,160 mg,Comprimé orodispersible,PHLOROGLUCINOL,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"- Traitement symptomatique des douleurs liées aux troubles
fonctionnels du tube digestif et des voies biliaires.
- Traitement des manifestations spasmodiques et douloureuses aiguës
des voies urinaires: coliques néphrétiques.
- Traitement symptomatiqu",Générique
ACTAFON SL,80 mg,Comprimé orodispersible,PHLOROGLUCINOL DIHYDRATE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS UTILISES EN CAS DE PROBLEMES FONCTIONNELS GASTRO-INTESTINAUX,"- Traitement symptomatique des douleurs liées aux troubles
fonctionnels du tube digestif et des voies biliaires.
- Traitement des manifestations spasmodiques et douloureuses aiguës
des voies urinaires: coliques néphrétiques.
- Traitement symptomatiqu",Générique
ACTALGINE,500 mg,Comprimé,ACIDE ACETYLSALICYLIQUE,SYSTEME NERVEUX,ANALGESIQUES,"Traitement symptomatique des douleurs d'intensité légère à modérée
et/ou des états fébriles.",Générique
ACTAPULGITE,3 GR,Poudre pour suspension orale,ATTAPULGITE DE MORMOIRON ACTIVEE,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX","Traitement symptomatique des manifestations fonctionnelles
intestinales chez l'adulte, notamment avec météorisme et diarrhée.",Princeps
ACTAPULGITE ENFANTS ET ADULTES,3 GR,Poudre pour suspension orale,ATTAPULGITE DE MORMOIRON ACTIVEE,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX","Traitement symptomatique des manifestations fonctionnelles
intestinales chez l'adulte, notamment avec météorisme et diarrhée.",Princeps
ACTAPULGITE NOURRISSONS,1 GR,Poudre pour suspension orale,ATTAPULGITE DE MORMOIRON ACTIVEE,APPAREIL DIGESTIF ET METABOLISME,"ANTIDIARRHEIQUES, ANTI-INFLAMMATOIRES INTESTINAUX/AGENTS ANTI-INFECTIEUX","Traitement symptomatique des manifestations fonctionnelles
intestinales notamment avec météorisme et diarrhée.",Princeps
ACTEMRA,80 mg/4 ml,Solution injectable pour perfusion,TACILIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Traitement de la polyarthrite rhumatoïde active de forme modérée à
sévère chez les patients adultes n'ayant pas présenté une réponse
suffisante au traitement par DMARD ou par inhibiteurs du facteur de
nécrose tumorale (TNF). Actemra peut être utilisé",Princeps
ACTEMRA,400 mg/20 ml,Solution injectable pour perfusion,TACILIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Traitement de la polyarthrite rhumatoïde active de forme modérée à
sévère chez les patients adultes n'ayant pas présenté une réponse
suffisante au traitement par DMARD ou par inhibiteurs du facteur de
nécrose tumorale (TNF). Actemra peut être utilisé",Princeps
ACTEMRA,200 mg/10 ml,Solution injectable pour perfusion,TACILIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Traitement de la polyarthrite rhumatoïde active de forme modérée à
sévère chez les patients adultes n'ayant pas présenté une réponse
suffisante au traitement par DMARD ou par inhibiteurs du facteur de
nécrose tumorale (TNF). Actemra peut être utilisé",Princeps
ACTEMRA,162 mg/0.9 ml,Solution injectable,TOCILIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,IMMUNOSUPPRESSEURS,"Polyarthrite rhumatoïde(PR).
ACTEMRA est indiqué pour réduire les signes et les symptômes chez les
patients adultes présentant une polyarthrite rhumatoide active modérée
à sévère qui n'ont pas suffisamment répondu ou présenté des effets
indésirables",Princeps
ACTHEANE,250 mg,Comprimé,ACTAEA RACEMOSA-ARNICA MONTANA-GLONOINUM-LACHESIS MUTUS-SANG,DIVERS,TOUS LES AUTRES PRODUITS THERAPEUTIQUES,"Médicament homéopathique traditionnellement utilisé dans les bouffées
de chaleur et les troubles fonctionnels de la ménopause.",Princeps
ACTICIL,0.60%,Solution buvable,AMBROXOL,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"Traitement des troubles de la sécrétion bronchique de l'adulte,
notamment au cours des affections bronchiques aigues et des épisodes
aigus des bronchopneumopathies chroniques.",Générique
ACTICIL,30 mg,Comprimé,AMBROXOL,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"Traitement des troubles de la sécrétion bronchique de l'adulte ,
notamment au cours des affections bronchiques aigues:
- bronchite aigue, épisode aigu des bronchopneumopathies chroniques.",Générique
ACTIFED RHUME,,Comprimé,PSEUDOEPHEDRINE+TRIPROLIDINE,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"Traitement symtomatique de la congestion nasale au cours des
affections rhinopharyngées aiguës.",Princeps
ACTIFED RHUME ET FIEVRE,,Comprimé,PARACETAMOL+PSEUDOEPHEDRINE+TRIPROLIDINE,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"Traitement symptomatique de la congestion et de l'hypersécrétion
nasales au cours des affections rhinopharyngées aiguës avec maux de
tête et/ou fièvre.
Traitement symptomatique des états grippaux.",Générique
ACTIFED VITAMINE C,,Comprimé pelliculé,PARACETAMOL+PSEUDOEPHEDRINE+VITAMINE C,SYSTEME RESPIRATOIRE,MEDICAMENTS POUR LE NEZ,"Traitement symptomatique de l'hypersécrétion nasale au cours des
affections rhinopharyngées aiguës avec maux de tête et/ou fièvre.",Générique
ACTILYSE,20 mg,Pdre p.prep.injectable,ALTEPLASE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"1/ Traitement thrombolytique à la phase aigue de l'infarctus du
myocarde
* Schéma thérapeutique dit ""accéléré"" (90 minutes) (voir posologie et
mode d'administration) destiné aux patients chez qui le traitement
peut être débuté dans les 6  heures suiv",Princeps
ACTILYSE,10 mg,Pdre p.prep.injectable,ALTEPLASE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"1/ Traitement thrombolytique à la phase aigue de l'infarctus du
myocarde
* Schéma thérapeutique dit ""accéléré"" (90 minutes) (voir posologie et
mode d'administration) destiné aux patients chez qui le traitement
peut être débuté dans les 6  heures suiv",Princeps
ACTILYSE,50 mg,Pdre p.prep.injectable,ALTEPLASE,SANG ET ORGANES HEMATOPOIETIQUES,AGENTS ANTITHROMBOTIQUES,"1/ Traitement thrombolytique à la phase aigue de l'infarctus du
myocarde
* Schéma thérapeutique dit ""accéléré"" (90 minutes) (voir posologie et
mode d'administration) destiné aux patients chez qui le traitement
peut être débuté dans les 6  heures suiv",Princeps
ACTIPP,40 MG,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Reflux gastro-oesophagien : traitement de l'oesophagite érosive par
reflux.
- Traitement du syndrome de Zollinger-Ellison.
- Poursuite du traitement après prévention par voie intraveineuse de
la récidive hémorragique d'un ulcère gastro-duodénal.",Générique
ACTIPP,20 MG,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"1/ Reflux gastro-oesophagien :
- Traitement de l'oesophagite érosive par reflux,
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux gastro-oesophagien,
- Traitement symptomatique du reflux gastro-oes",Générique
ACTIPP,20 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les comprimés d'INEXIUM sont indiqués chez les adultes dans :
· Reflux gastro-oesophagien (RGO) :
- Traitement de l'osophagite érosive par reflux.
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux g",Générique
ACTIPP,40 MG,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"- Reflux gastro-oesophagien : traitement de l'oesophagite érosive par
reflux.
- Traitement du syndrome de Zollinger-Ellison.
- Poursuite du traitement après prévention par voie intraveineuse de
la récidive hémorragique d'un ulcère gastro-duodénal.",Générique
ACTIPP,20 mg,Gélule gastrorésistante,ESOMEPRAZOLE,APPAREIL DIGESTIF ET METABOLISME,MEDICAMENTS LIES A DES PROBLEMES D'ACIDITE,"Les gélules d'ACTIPP sont indiquées chez les adultes dans:
1/ Reflux gastro-oesophagien (RGO) :
- Traitement de l'oesophagite érosive par reflux,
- Traitement d'entretien et prévention des récidives après
cicatrisation d'une oesophagite par reflux ga",Générique
ACTISOUFRE,4mg/50mg/10 ml,Suspension buvable ou nasale,MONOSULFURE DE SODIUM+LEVURES,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"Utilisé dans les états inflammatoires chroniques des voies
respiratoires supérieures telles que rhinites et rhinopharyngites
chroniques.",Princeps
ACTISOUFRE,,Solution pour pulvérisation buccale,MONOSULFURE DE SODIUM+LEVURES,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"Utilisé dans les états inflammatoires chroniques des voies
respiratoires supérieures telles que rhinites et rhinopharyngites
chroniques.",Princeps
ACTIVEX ADULTE,,Granulés pour solution buvable,PARACETAMOL+PHENIRAMINE+VITAMINE C,SYSTEME RESPIRATOIRE,MEDICAMENTS DE LA TOUX ET DU RHUME,"1/ TRAITEMENT SYMPTOMATIQUE DES AFFECTIONS ORL AIGUES: RHUMES,
RHINITES ALLERGIQUES, RHINOPHARYNGITES.
2/ TRAITEMENT SYMPTOMATIQUE DES ETATS GRIPPAUX.
EN CAS D'AFFECTION BACTERIENNE, UNE ANTIBIOTHERAPIE PEUT ETRE
NECESSAIRE.",Générique
ACTOPRIL,50 mg,Comprimé sécable,CAPTOPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"- Hypertension artérielle ;
- Insuffisance cardiaque congestive ;
- Infarctus du myocarde dans les 24 premières heures chez les patients
en situation hémodynamiquement stable ;
- Post-infarctus du myocarde chez les patients avec dysfonction
ventricul",Générique
ACTOPRIL,25 mg,Comprimé sécable,CAPTOPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"- Hypertension artérielle ;
- Insuffisance cardiaque congestive ;
- Infarctus du myocarde dans les 24 premières heures chez les patients
en situation hémodynamiquement stable ;
- Post-infarctus du myocarde chez les patients avec dysfonction
ventricul",Générique
ACTOPRIL,50 mg,Comprimé sécable,CAPTOPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"- Hypertension artérielle ;
- Insuffisance cardiaque congestive ;
- Infarctus du myocarde dans les 24 premières heures chez les patients
en situation hémodynamiquement stable ;
- Post-infarctus du myocarde chez les patients avec dysfonction
ventricul",Générique
ACTOPRIL,50 mg,Comprimé sécable,CAPTOPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"- Hypertension artérielle ;
- Insuffisance cardiaque congestive ;
- Infarctus du myocarde dans les 24 premières heures chez les patients
en situation hémodynamiquement stable ;
- Post-infarctus du myocarde chez les patients avec dysfonction
ventricul",Générique
ACTOPRIL,25 mg,Comprimé sécable,CAPTOPRIL,SYSTEME CARDIOVASCULAIRE,AGENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE,"- Hypertension artérielle ;
- Insuffisance cardiaque congestive ;
- Infarctus du myocarde dans les 24 premières heures chez les patients
en situation hémodynamiquement stable ;
- Post-infarctus du myocarde chez les patients avec dysfonction
ventricul",Générique
